title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Not Afraid,Eminem,detroit hip hop,2010.0,2022‑02‑17,115.0,95.0,86.0,-1.0,21.0,67.0,248.0,53.0,26.0,85.0,2010.0,Solo
I Like It,Enrique Iglesias,dance pop,2010.0,2022‑02‑17,129.0,94.0,65.0,-3.0,7.0,70.0,232.0,2.0,8.0,71.0,2010.0,Solo
Kickstarts,Example,dance pop,2010.0,2022‑02‑17,126.0,84.0,61.0,-4.0,36.0,66.0,182.0,0.0,6.0,69.0,2010.0,Solo
Like A G6,Far East Movement,asian american hip hop,2010.0,2022‑02‑17,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,75.0,2010.0,Band/Group
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010.0,2022‑02‑17,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,81.0,2010.0,Solo
Hot - Malibu Breeze Radio Edit,INNA,dance pop,2010.0,2022‑02‑17,128.0,71.0,81.0,-8.0,26.0,51.0,224.0,6.0,14.0,43.0,2010.0,Solo
Replay,Iyaz,dance pop,2009.0,2022‑02‑17,91.0,75.0,71.0,-6.0,17.0,20.0,182.0,17.0,7.0,78.0,2010.0,Solo
Whatcha Say,Jason Derulo,dance pop,2010.0,2022‑02‑17,144.0,71.0,62.0,-6.0,14.0,71.0,221.0,4.0,8.0,72.0,2010.0,Solo
Ridin' Solo,Jason Derulo,dance pop,2010.0,2022‑02‑17,89.0,83.0,44.0,-4.0,13.0,58.0,216.0,13.0,15.0,70.0,2010.0,Solo
In My Head,Jason Derulo,dance pop,2010.0,2022‑02‑17,110.0,75.0,76.0,-4.0,35.0,85.0,199.0,3.0,3.0,67.0,2010.0,Solo
Down,Jay Sean,dance pop,2009.0,2022‑02‑17,132.0,68.0,73.0,-4.0,8.0,73.0,213.0,1.0,3.0,83.0,2010.0,Solo
Do You Remember,Jay Sean,dance pop,2009.0,2022‑02‑17,126.0,67.0,85.0,-5.0,10.0,82.0,211.0,2.0,7.0,74.0,2010.0,Solo
Young Forever,JAY-Z,east coast hip hop,2009.0,2022‑02‑17,140.0,69.0,64.0,-3.0,21.0,10.0,254.0,42.0,7.0,71.0,2010.0,Solo
Heartbreak Warfare,John Mayer,neo mellow,2009.0,2022‑02‑17,97.0,55.0,62.0,-8.0,30.0,31.0,270.0,19.0,2.0,69.0,2010.0,Solo
Half of My Heart,John Mayer,neo mellow,2009.0,2022‑02‑17,115.0,59.0,68.0,-9.0,11.0,73.0,250.0,44.0,3.0,68.0,2010.0,Solo
Baby,Justin Bieber,canadian pop,2010.0,2022‑02‑17,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,86.0,2010.0,Solo
California Gurls,Katy Perry,dance pop,2012.0,2022‑02‑17,125.0,75.0,79.0,-4.0,16.0,43.0,235.0,0.0,6.0,78.0,2010.0,Solo
Teenage Dream,Katy Perry,dance pop,2010.0,2022‑02‑17,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,76.0,2010.0,Solo
Commander,Kelly Rowland,atl hip hop,2011.0,2022‑02‑17,125.0,88.0,40.0,-4.0,36.0,57.0,218.0,2.0,14.0,54.0,2010.0,Solo
TiK ToK,Kesha,dance pop,2010.0,2022‑02‑17,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,86.0,2010.0,Solo
Your Love Is My Drug,Kesha,dance pop,2010.0,2022‑02‑17,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,75.0,2010.0,Solo
Take It Off,Kesha,dance pop,2010.0,2022‑02‑17,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,74.0,2010.0,Solo
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010.0,2022‑02‑17,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,67.0,2010.0,Solo
Wavin' Flag,K'NAAN,reggae fusion,2009.0,2022‑02‑17,76.0,70.0,63.0,-6.0,24.0,72.0,221.0,13.0,7.0,63.0,2010.0,Solo
Live Like We're Dying,Kris Allen,idol,2009.0,2022‑02‑17,92.0,89.0,59.0,-3.0,34.0,94.0,213.0,3.0,4.0,57.0,2010.0,Solo
Bad Romance,Lady Gaga,art pop,2009.0,2022‑02‑17,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,86.0,2010.0,Solo
Telephone,Lady Gaga,art pop,2009.0,2022‑02‑17,122.0,84.0,82.0,-6.0,11.0,72.0,221.0,1.0,4.0,75.0,2010.0,Solo
Alejandro,Lady Gaga,art pop,2009.0,2022‑02‑17,99.0,79.0,62.0,-7.0,38.0,36.0,274.0,0.0,5.0,72.0,2010.0,Solo
Right Above It,Lil Wayne,hip hop,2010.0,2022‑02‑17,76.0,84.0,38.0,-4.0,58.0,46.0,272.0,4.0,36.0,74.0,2010.0,Solo
My Chick Bad,Ludacris,atl hip hop,2010.0,2022‑02‑17,85.0,72.0,62.0,-7.0,48.0,76.0,217.0,17.0,38.0,73.0,2010.0,Solo
How Low,Ludacris,atl hip hop,2010.0,2022‑02‑17,144.0,50.0,79.0,-7.0,22.0,42.0,202.0,0.0,5.0,68.0,2010.0,Solo
Misery,Maroon 5,pop,2010.0,2022‑02‑17,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,70.0,2010.0,Band/Group
When We Collide,Matt Cardle,talent show,2011.0,2022‑02‑17,82.0,68.0,44.0,-6.0,31.0,45.0,226.0,2.0,3.0,52.0,2010.0,Solo
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010.0,2022‑02‑17,130.0,82.0,77.0,-5.0,69.0,63.0,213.0,18.0,5.0,81.0,2010.0,Solo
Can't Be Tamed,Miley Cyrus,dance pop,2010.0,2022‑02‑17,117.0,91.0,63.0,-3.0,20.0,74.0,168.0,3.0,14.0,69.0,2010.0,Solo
Animal,Neon Trees,modern alternative rock,2010.0,2022‑02‑17,148.0,83.0,48.0,-6.0,37.0,74.0,212.0,0.0,4.0,76.0,2010.0,Band/Group
Fireflies,Owl City,indietronica,2009.0,2022‑02‑17,180.0,66.0,51.0,-7.0,12.0,47.0,228.0,3.0,4.0,84.0,2010.0,Band/Group
She Said,Plan B,grime,2010.0,2022‑02‑17,147.0,54.0,72.0,-6.0,16.0,83.0,211.0,30.0,14.0,39.0,2010.0,Duo
Only Girl (In The World),Rihanna,barbadian pop,2010.0,2022‑02‑17,126.0,71.0,79.0,-4.0,6.0,64.0,235.0,11.0,4.0,82.0,2010.0,Solo
Rude Boy,Rihanna,barbadian pop,2009.0,2022‑02‑17,174.0,75.0,56.0,-4.0,8.0,81.0,223.0,11.0,13.0,80.0,2010.0,Solo
What's My Name?,Rihanna,barbadian pop,2010.0,2022‑02‑17,100.0,78.0,69.0,-3.0,8.0,56.0,263.0,18.0,7.0,75.0,2010.0,Solo
Man Down,Rihanna,barbadian pop,2010.0,2022‑02‑17,156.0,91.0,48.0,-4.0,5.0,54.0,267.0,4.0,19.0,65.0,2010.0,Solo
Hard,Rihanna,barbadian pop,2009.0,2022‑02‑17,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,60.0,2010.0,Solo
Dancing On My Own - Radio Edit,Robyn,art pop,2010.0,2022‑02‑17,117.0,93.0,57.0,-6.0,13.0,22.0,278.0,0.0,3.0,65.0,2010.0,Solo
King of Anything,Sara Bareilles,acoustic pop,2010.0,2022‑02‑17,119.0,76.0,68.0,-4.0,6.0,81.0,207.0,46.0,4.0,66.0,2010.0,Solo
This Ain't a Love Song,Scouting For Girls,dance pop,2017.0,2022‑02‑17,177.0,91.0,46.0,-4.0,38.0,55.0,211.0,0.0,5.0,58.0,2010.0,Band/Group
Eenie Meenie,Sean Kingston,dance pop,2020.0,2022‑02‑17,121.0,64.0,73.0,-3.0,10.0,84.0,202.0,3.0,3.0,72.0,2010.0,Solo
Riverside,Sidney Samson,dutch house,2009.0,2022‑02‑17,126.0,98.0,80.0,-2.0,13.0,29.0,321.0,0.0,5.0,42.0,2010.0,Solo
Alors on danse - Radio Edit,Stromae,belgian pop,2010.0,2022‑02‑17,120.0,59.0,79.0,-9.0,7.0,71.0,206.0,10.0,8.0,83.0,2010.0,Solo
Stuck Like Glue,Sugarland,contemporary country,2010.0,2022‑02‑17,84.0,80.0,70.0,-5.0,5.0,84.0,248.0,33.0,6.0,73.0,2010.0,Duo
One - Radio Edit,Swedish House Mafia,dance pop,2010.0,2022‑02‑17,125.0,78.0,80.0,-7.0,15.0,62.0,170.0,1.0,4.0,62.0,2010.0,Band/Group
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,2010.0,2022‑02‑17,125.0,93.0,74.0,-6.0,40.0,66.0,206.0,0.0,7.0,52.0,2010.0,Band/Group
Dynamite,Taio Cruz,dance pop,2010.0,2022‑02‑17,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,85.0,2010.0,Solo
Break Your Heart,Taio Cruz,dance pop,2010.0,2022‑02‑17,122.0,93.0,61.0,-4.0,9.0,57.0,202.0,3.0,3.0,79.0,2010.0,Solo
The Flood,Take That,boy band,2010.0,2022‑02‑17,101.0,83.0,51.0,-6.0,12.0,14.0,289.0,4.0,4.0,63.0,2010.0,Band/Group
Back To December,Taylor Swift,pop,2010.0,2022‑02‑17,142.0,67.0,53.0,-5.0,33.0,29.0,293.0,12.0,3.0,71.0,2010.0,Solo
Mine,Taylor Swift,pop,2010.0,2022‑02‑17,121.0,76.0,62.0,-3.0,19.0,66.0,231.0,0.0,3.0,70.0,2010.0,Solo
Today Was A Fairytale,Taylor Swift,pop,2011.0,2022‑02‑17,158.0,70.0,49.0,-4.0,17.0,34.0,242.0,3.0,3.0,56.0,2010.0,Solo
If I Die Young,The Band Perry,contemporary country,2010.0,2022‑02‑17,131.0,50.0,61.0,-7.0,28.0,36.0,223.0,35.0,3.0,74.0,2010.0,Band/Group
For the First Time,The Script,celtic rock,2011.0,2022‑02‑17,174.0,63.0,40.0,-5.0,18.0,36.0,253.0,3.0,3.0,66.0,2010.0,Band/Group
All Time Low,The Wanted,boy band,2010.0,2022‑02‑17,134.0,62.0,69.0,-5.0,8.0,79.0,205.0,35.0,5.0,63.0,2010.0,Band/Group
Seek Bromance (Avicii Vocal Edit),Tim Berg,edm,2010.0,2022‑02‑17,126.0,81.0,49.0,-3.0,9.0,55.0,201.0,9.0,4.0,55.0,2010.0,Solo
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009.0,2022‑02‑17,116.0,57.0,53.0,-7.0,26.0,27.0,232.0,11.0,11.0,74.0,2010.0,Solo
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009.0,2022‑02‑17,126.0,61.0,65.0,-7.0,6.0,39.0,293.0,0.0,4.0,74.0,2010.0,Solo
Pass Out,Tinie Tempah,dance pop,2010.0,2022‑02‑17,91.0,89.0,69.0,-3.0,14.0,53.0,268.0,3.0,30.0,51.0,2010.0,Solo
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010.0,2022‑02‑17,123.0,97.0,62.0,-3.0,20.0,30.0,208.0,5.0,13.0,51.0,2010.0,Solo
"Hey, Soul Sister",Train,dance pop,2010.0,2022‑02‑17,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,87.0,2010.0,Band/Group
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,2010.0,2022‑02‑17,87.0,67.0,63.0,-6.0,21.0,66.0,211.0,30.0,26.0,77.0,2010.0,Solo
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010.0,2022‑02‑17,74.0,60.0,84.0,-5.0,39.0,33.0,242.0,2.0,16.0,78.0,2010.0,Solo
Say Aah (feat. Fabolous),Trey Songz,dance pop,2009.0,2022‑02‑17,93.0,87.0,72.0,-4.0,83.0,81.0,208.0,0.0,11.0,68.0,2010.0,Solo
What You Know,Two Door Cinema Club,indie rock,2010.0,2022‑02‑17,139.0,74.0,56.0,-4.0,8.0,78.0,192.0,0.0,4.0,76.0,2010.0,Band/Group
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010.0,2022‑02‑17,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,84.0,2010.0,Solo
OMG (feat. will.i.am),Usher,atl hip hop,2010.0,2022‑02‑17,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,78.0,2010.0,Solo
Hey Daddy (Daddy's Home),Usher,atl hip hop,2010.0,2022‑02‑17,96.0,70.0,59.0,-4.0,11.0,35.0,224.0,0.0,3.0,65.0,2010.0,Solo
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010.0,2022‑02‑17,131.0,60.0,76.0,-6.0,24.0,36.0,264.0,1.0,4.0,63.0,2010.0,Solo
We No Speak Americano (Edit),Yolanda Be Cool,australian dance,2020.0,2022‑02‑17,125.0,81.0,90.0,-5.0,9.0,75.0,157.0,7.0,5.0,65.0,2010.0,Duo
BedRock,Young Money,dance pop,2009.0,2022‑02‑17,148.0,66.0,73.0,-6.0,19.0,56.0,288.0,10.0,30.0,76.0,2010.0,Band/Group
Rolling in the Deep,Adele,british soul,2011.0,2020‑06‑16,105.0,77.0,73.0,-5.0,5.0,51.0,228.0,14.0,3.0,84.0,2011.0,Solo
Set Fire to the Rain,Adele,british soul,2011.0,2020‑06‑16,108.0,67.0,60.0,-4.0,11.0,45.0,243.0,0.0,2.0,81.0,2011.0,Solo
Mr. Saxobeat,Alexandra Stan,dance pop,2011.0,2020‑06‑16,127.0,93.0,72.0,-4.0,14.0,78.0,195.0,3.0,5.0,69.0,2011.0,Solo
What the Hell,Avril Lavigne,canadian pop,2011.0,2020‑06‑16,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,80.0,2011.0,Solo
Lighters,Bad Meets Evil,detroit hip hop,2011.0,2020‑06‑16,90.0,70.0,68.0,-8.0,12.0,14.0,304.0,35.0,25.0,74.0,2011.0,Duo
Love On Top,Beyoncé,dance pop,2011.0,2020‑06‑16,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,79.0,2011.0,Solo
Best Thing I Never Had,Beyoncé,dance pop,2011.0,2020‑06‑16,99.0,65.0,55.0,-4.0,9.0,30.0,254.0,14.0,3.0,74.0,2011.0,Solo
Skinny Love,Birdy,pop,2011.0,2020‑06‑16,166.0,29.0,38.0,-8.0,12.0,17.0,201.0,95.0,5.0,77.0,2011.0,Solo
Just Can’t Get Enough,Black Eyed Peas,dance pop,2010.0,2020‑06‑16,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,81.0,2011.0,Band/Group
Honey Bee,Blake Shelton,contemporary country,2011.0,2020‑06‑16,206.0,85.0,48.0,-5.0,12.0,72.0,211.0,0.0,4.0,69.0,2011.0,Solo
Holocene,Bon Iver,eau claire indie,2011.0,2020‑06‑16,148.0,30.0,37.0,-15.0,13.0,15.0,337.0,94.0,3.0,70.0,2011.0,Band/Group
I Wanna Go,Britney Spears,dance pop,2011.0,2020‑06‑16,130.0,55.0,70.0,-7.0,33.0,79.0,210.0,0.0,4.0,71.0,2011.0,Solo
Till the World Ends,Britney Spears,dance pop,2011.0,2020‑06‑16,132.0,71.0,69.0,-6.0,20.0,45.0,238.0,2.0,7.0,71.0,2011.0,Solo
Grenade,Bruno Mars,dance pop,2010.0,2020‑06‑16,110.0,56.0,70.0,-7.0,11.0,25.0,222.0,15.0,5.0,82.0,2011.0,Solo
Marry You,Bruno Mars,dance pop,2010.0,2020‑06‑16,145.0,82.0,62.0,-5.0,10.0,45.0,230.0,33.0,4.0,79.0,2011.0,Solo
The Lazy Song,Bruno Mars,dance pop,2010.0,2020‑06‑16,175.0,71.0,79.0,-5.0,10.0,96.0,189.0,30.0,7.0,77.0,2011.0,Solo
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,dance pop,2012.0,2020‑06‑16,128.0,96.0,78.0,-2.0,66.0,76.0,222.0,3.0,4.0,67.0,2011.0,Solo
Blind Faith,Chase & Status,dancefloor dnb,2011.0,2020‑06‑16,140.0,85.0,45.0,-5.0,23.0,40.0,234.0,1.0,5.0,66.0,2011.0,Duo
Champion (feat. Chris Brown),Chip,grime,2011.0,2020‑06‑16,190.0,93.0,42.0,-3.0,14.0,52.0,237.0,8.0,24.0,54.0,2011.0,Solo
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,dance pop,2011.0,2020‑06‑16,146.0,68.0,77.0,-6.0,14.0,54.0,223.0,3.0,18.0,77.0,2011.0,Solo
Yeah 3x,Chris Brown,dance pop,2011.0,2020‑06‑16,130.0,88.0,71.0,-3.0,9.0,70.0,242.0,0.0,4.0,74.0,2011.0,Solo
Beautiful People,Chris Brown,dance pop,2019.0,2020‑06‑16,128.0,78.0,42.0,-6.0,8.0,54.0,226.0,7.0,16.0,59.0,2011.0,Solo
Jar of Hearts,Christina Perri,dance pop,2011.0,2020‑06‑16,75.0,35.0,35.0,-6.0,12.0,9.0,247.0,73.0,3.0,77.0,2011.0,Solo
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011.0,2020‑06‑16,132.0,86.0,67.0,-3.0,4.0,75.0,216.0,2.0,5.0,75.0,2011.0,Band/Group
Paradise,Coldplay,permanent wave,2011.0,2020‑06‑16,140.0,59.0,45.0,-7.0,8.0,21.0,279.0,5.0,3.0,88.0,2011.0,Band/Group
Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011.0,2020‑06‑16,118.0,73.0,43.0,-7.0,17.0,33.0,241.0,0.0,4.0,75.0,2011.0,Band/Group
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011.0,2020‑06‑16,130.0,87.0,66.0,-3.0,23.0,56.0,210.0,3.0,4.0,69.0,2011.0,Solo
Who's That Chick? (feat. Rihanna),David Guetta,big room,2010.0,2020‑06‑16,128.0,60.0,68.0,-5.0,5.0,93.0,201.0,0.0,12.0,66.0,2011.0,Solo
Coming Home,Diddy - Dirty Money,hip pop,2010.0,2020‑06‑16,168.0,84.0,39.0,-2.0,30.0,23.0,239.0,16.0,19.0,74.0,2011.0,Duo
Louder,DJ Fresh,dancefloor dnb,2012.0,2020‑06‑16,140.0,93.0,39.0,-1.0,35.0,48.0,207.0,2.0,5.0,40.0,2011.0,Solo
I'm On One,DJ Khaled,dance pop,2011.0,2020‑06‑16,149.0,81.0,41.0,-3.0,63.0,44.0,296.0,5.0,32.0,75.0,2011.0,Solo
I Need A Doctor,Dr. Dre,g funk,2011.0,2020‑06‑16,156.0,95.0,59.0,-5.0,31.0,40.0,284.0,9.0,45.0,77.0,2011.0,Solo
Headlines,Drake,canadian hip hop,2011.0,2020‑06‑16,152.0,57.0,64.0,-7.0,9.0,43.0,236.0,37.0,11.0,80.0,2011.0,Solo
The A Team,Ed Sheeran,pop,2011.0,2020‑06‑16,85.0,29.0,64.0,-10.0,18.0,41.0,258.0,67.0,4.0,80.0,2011.0,Solo
Lego House,Ed Sheeran,pop,2011.0,2020‑06‑16,160.0,64.0,59.0,-8.0,13.0,56.0,185.0,56.0,10.0,77.0,2011.0,Solo
Stereo Love - Radio Edit,Edward Maya,romanian house,2010.0,2020‑06‑16,127.0,78.0,80.0,-4.0,8.0,59.0,185.0,3.0,3.0,71.0,2011.0,Solo
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2010.0,2020‑06‑16,126.0,88.0,67.0,-5.0,14.0,27.0,232.0,3.0,4.0,65.0,2011.0,Solo
Springsteen,Eric Church,contemporary country,2011.0,2020‑06‑16,104.0,81.0,69.0,-6.0,19.0,93.0,263.0,10.0,3.0,77.0,2011.0,Solo
Changed the Way You Kiss Me - Radio Edit,Example,dance pop,2011.0,2020‑06‑16,127.0,86.0,58.0,-4.0,9.0,19.0,195.0,1.0,4.0,69.0,2011.0,Solo
Rocketeer,Far East Movement,asian american hip hop,2010.0,2020‑06‑16,96.0,85.0,66.0,-6.0,27.0,36.0,211.0,18.0,5.0,73.0,2011.0,Band/Group
Shake It Out,Florence + The Machine,baroque pop,2011.0,2020‑06‑16,107.0,80.0,53.0,-4.0,11.0,22.0,278.0,1.0,4.0,68.0,2011.0,Band/Group
Pumped Up Kicks,Foster The People,indietronica,2011.0,2020‑06‑16,128.0,71.0,73.0,-6.0,10.0,97.0,240.0,14.0,3.0,88.0,2011.0,Band/Group
Tongue Tied,Grouplove,indie pop,2011.0,2020‑06‑16,113.0,94.0,56.0,-6.0,16.0,37.0,218.0,1.0,4.0,84.0,2011.0,Band/Group
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011.0,2020‑06‑16,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,87.0,2011.0,Band/Group
Tonight Tonight,Hot Chelle Rae,dance pop,2011.0,2020‑06‑16,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,79.0,2011.0,Band/Group
Dirt Road Anthem,Jason Aldean,contemporary country,2010.0,2020‑06‑16,127.0,74.0,68.0,-5.0,12.0,64.0,229.0,35.0,4.0,77.0,2011.0,Solo
It Girl,Jason Derulo,dance pop,2011.0,2020‑06‑16,92.0,72.0,67.0,-5.0,10.0,35.0,192.0,2.0,6.0,76.0,2011.0,Solo
Don't Wanna Go Home,Jason Derulo,dance pop,2011.0,2020‑06‑16,122.0,81.0,67.0,-5.0,13.0,64.0,206.0,2.0,7.0,68.0,2011.0,Solo
On The Floor,Jennifer Lopez,dance pop,2011.0,2020‑06‑16,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,84.0,2011.0,Solo
Down On Me,Jeremih,chicago rap,2010.0,2020‑06‑16,160.0,60.0,70.0,-8.0,11.0,59.0,228.0,4.0,11.0,77.0,2011.0,Solo
Do It Like A Dude,Jessie J,dance pop,2011.0,2020‑06‑16,140.0,84.0,66.0,-4.0,36.0,38.0,195.0,5.0,5.0,53.0,2011.0,Solo
All Of The Lights,Kanye West,chicago rap,2010.0,2020‑06‑16,142.0,80.0,53.0,-3.0,18.0,22.0,300.0,8.0,7.0,82.0,2011.0,Solo
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012.0,2020‑06‑16,126.0,82.0,65.0,-4.0,67.0,77.0,231.0,0.0,4.0,80.0,2011.0,Solo
Firework,Katy Perry,dance pop,2010.0,2020‑06‑16,124.0,83.0,64.0,-5.0,11.0,65.0,228.0,14.0,5.0,72.0,2011.0,Solo
E.T.,Katy Perry,dance pop,2012.0,2020‑06‑16,152.0,87.0,62.0,-5.0,37.0,76.0,230.0,2.0,18.0,71.0,2011.0,Solo
Motivation,Kelly Rowland,atl hip hop,2011.0,2020‑06‑16,141.0,67.0,74.0,-6.0,11.0,27.0,231.0,19.0,4.0,70.0,2011.0,Solo
Pretty Girl Rock,Keri Hilson,dance pop,2010.0,2020‑06‑16,160.0,87.0,67.0,-5.0,9.0,90.0,244.0,20.0,25.0,72.0,2011.0,Solo
We R Who We R,Kesha,dance pop,2010.0,2020‑06‑16,120.0,82.0,74.0,-5.0,12.0,65.0,205.0,1.0,4.0,77.0,2011.0,Solo
Blow,Kesha,dance pop,2010.0,2020‑06‑16,120.0,73.0,75.0,-4.0,7.0,81.0,220.0,0.0,4.0,75.0,2011.0,Solo
